Mês/Ano,2012,2013,2014,2015,2016,2017,2018
Janeiro,0.0089,0.0060,0.0085,0.0094,0.0106,0.0109,0.0058
Fevereiro,0.0075,0.0049,0.0079,0.0082,0.0100,0.0087,0.0047
Março,0.0082,0.0055,0.0077,0.0104,0.0116,0.0105,0.0053
Abril,0.0071,0.0061,0.0082,0.0095,0.0106,0.0079,0.0052
Maio,0.0074,0.0060,0.0087,0.0099,0.0111,0.0093,0.0052
Junho,0.0064,0.0061,0.0082,0.0107,0.0116,0.0081,0.0052
Julho,0.0068,0.0072,0.0095,0.0118,0.0111,0.0080,0.0054
Agosto,0.0069,0.0071,0.0087,0.0111,0.0122,0.0080,0.0057
Setembro,0.0054,0.0071,0.0091,0.0111,0.0111,0.0064,0.0047
Outubro,0.0061,0.0081,0.0095,0.0111,0.0105,0.0064,0.0054
Novembro,0.0055,0.0072,0.0084,0.0106,0.0104,0.0057,0.0049
Dezembro,0.0055,0.0079,0.0096,0.0116,0.0112,0.0054,0.0049